source_section,target_section,comparison_status,category
1037,454,xml_only,rej16_dash_delimiter
105,104,xml_only,rej16_dash_delimiter
1293,960,xml_only,rej16_dash_delimiter
150,103,xml_only,rej16_dash_delimiter
199A,167,xml_only,rej16_dash_delimiter
3102,6051,xml_only,rej16_dash_delimiter
3202,6051,xml_only,rej16_dash_delimiter
424,1041,xml_only,rej16_dash_delimiter
50,1041,xml_only,rej16_dash_delimiter
5044,5361,xml_only,rej16_dash_delimiter
562,542,xml_only,rej16_dash_delimiter
5761,5704,xml_only,rej16_dash_delimiter
6015,6532,xml_only,rej16_dash_delimiter
6323,6324,xml_only,rej16_dash_delimiter
6343,6621,xml_only,rej16_dash_delimiter
643,3406,xml_only,rej16_dash_delimiter
707,1221,xml_only,rej16_dash_delimiter
7426,6621,xml_only,rej16_dash_delimiter
852,6621,xml_only,rej16_dash_delimiter
860F,1091,xml_only,rej16_dash_delimiter
108,464,rej16_only,rej16_external_law
125,1311,rej16_only,rej16_external_law
1250,221,rej16_only,rej16_external_law
139D,4,rej16_only,rej16_external_law
1402,222,rej16_only,rej16_external_law
142,211,rej16_only,rej16_external_law
1504,805,rej16_only,rej16_external_law
162,12,rej16_only,rej16_external_law
162,15,rej16_only,rej16_external_law
186,4,rej16_only,rej16_external_law
198,102,rej16_only,rej16_external_law
198,104,rej16_only,rej16_external_law
2055,5,rej16_only,rej16_external_law
223,1311,rej16_only,rej16_external_law
223,351,rej16_only,rej16_external_law
265,1312,rej16_only,rej16_external_law
280G,120,rej16_only,rej16_external_law
3121,105,rej16_only,rej16_external_law
3121,215,rej16_only,rej16_external_law
3121,218,rej16_only,rej16_external_law
3121,301,rej16_only,rej16_external_law
3121,5,rej16_only,rej16_external_law
3132,110,rej16_only,rej16_external_law
32,221,rej16_only,rej16_external_law
3231,3,rej16_only,rej16_external_law
3304,903,rej16_only,rej16_external_law
3306,101,rej16_only,rej16_external_law
3306,214,rej16_only,rej16_external_law
3306,903,rej16_only,rej16_external_law
3401,5,rej16_only,rej16_external_law
35,246,rej16_only,rej16_external_law
36B,1321,rej16_only,rej16_external_law
36B,1402,rej16_only,rej16_external_law
402A,404,rej16_only,rej16_external_law
402A,514,rej16_only,rej16_external_law
402A,801,rej16_only,rej16_external_law
40B,211,rej16_only,rej16_external_law
414,3,rej16_only,rej16_external_law
414,4403,rej16_only,rej16_external_law
415,216,rej16_only,rej16_external_law
42,221,rej16_only,rej16_external_law
431,4222,rej16_only,rej16_external_law
431,4223,rej16_only,rej16_external_law
432,101,rej16_only,rej16_external_law
432,4219,rej16_only,rej16_external_law
432,4262,rej16_only,rej16_external_law
4376,3,rej16_only,rej16_external_law
45B,3,rej16_only,rej16_external_law
45C,505,rej16_only,rej16_external_law
45Q,211,rej16_only,rej16_external_law
45S,102,rej16_only,rej16_external_law
45V,211,rej16_only,rej16_external_law
45Y,211,rej16_only,rej16_external_law
45Z,211,rej16_only,rej16_external_law
468,511,rej16_only,rej16_external_law
48A,169,rej16_only,rej16_external_law
48A,171,rej16_only,rej16_external_law
4975,407,rej16_only,rej16_external_law
4980B,9801,rej16_only,rej16_external_law
5000A,1411,rej16_only,rej16_external_law
501,212,rej16_only,rej16_external_law
51,212,rej16_only,rej16_external_law
514,303,rej16_only,rej16_external_law
527,301,rej16_only,rej16_external_law
529A,103,rej16_only,rej16_external_law
543,3,rej16_only,rej16_external_law
597,11,rej16_only,rej16_external_law
6033,301,rej16_only,rej16_external_law
6055,1402,rej16_only,rej16_external_law
6103,212,rej16_only,rej16_external_law
6103,403,rej16_only,rej16_external_law
6103,483,rej16_only,rej16_external_law
6109,12,rej16_only,rej16_external_law
62,102,rej16_only,rej16_external_law
62,105,rej16_only,rej16_external_law
62,302,rej16_only,rej16_external_law
62,4,rej16_only,rej16_external_law
62,703,rej16_only,rej16_external_law
62,804,rej16_only,rej16_external_law
6306,212,rej16_only,rej16_external_law
6402,464,rej16_only,rej16_external_law
6428,5502,rej16_only,rej16_external_law
6428A,1505,rej16_only,rej16_external_law
6428A,212,rej16_only,rej16_external_law
6428A,5502,rej16_only,rej16_external_law
6432,7001,rej16_only,rej16_external_law
6707A,15,rej16_only,rej16_external_law
72,3,rej16_only,rej16_external_law
7429,1402,rej16_only,rej16_external_law
743,3,rej16_only,rej16_external_law
7447,502,rej16_only,rej16_external_law
7508A,420,rej16_only,rej16_external_law
7526A,4,rej16_only,rej16_external_law
7608,1341,rej16_only,rej16_external_law
7608,3302,rej16_only,rej16_external_law
7652,4,rej16_only,rej16_external_law
851,3,rej16_only,rej16_external_law
912,22,rej16_only,rej16_external_law
912,5,rej16_only,rej16_external_law
9501,423,rej16_only,rej16_external_law
9508,9003,rej16_only,rej16_external_law
9509,1012,rej16_only,rej16_external_law
9509,1015,rej16_only,rej16_external_law
9509,5,rej16_only,rej16_external_law
956,2,rej16_only,rej16_external_law
9702,3,rej16_only,rej16_external_law
9707,402,rej16_only,rej16_external_law
9712,3,rej16_only,rej16_external_law
9712,402,rej16_only,rej16_external_law
9801,311,rej16_only,rej16_external_law
9816,9815,rej16_only,rej16_external_law
